id,service_id,salon_id,service_name,service_num,department_name,service_class_name,goods_id,goods_name,balance,consume_unit,consume_unit_id,unit,material_raw_json
1650754,545355,1467,直白产品-杜莎小红瓶,FW20260620226814646,皮肤科,中胚层治疗（产品）,274195,注射用透明酸钠复合溶液（嗨体1.5ml/支）,1,支,0,支,"{""id"":207986,""service_id"":545355,""goods_id"":274195,""goods_name"":""注射用透明酸钠复合溶液（嗨体1.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274195}"
1648115,544714,1467,直白产品-基础水光,FW20260617622167308,皮肤科,中胚层治疗（产品）,274195,注射用透明酸钠复合溶液（嗨体1.5ml/支）,1,支,0,支,"{""id"":207977,""service_id"":544714,""goods_id"":274195,""goods_name"":""注射用透明酸钠复合溶液（嗨体1.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274195}"
805768,365059,1467,【服务】黄金超光子（全模式）,FW20240329548640979,皮肤科,光电项目,,,,,,,
1649969,545218,1467,瑞蓝丽瑅,FW,无创科,玻尿酸（塑形填充）,,,,,,,
1648079,544687,1467,直白产品-回颜臻聚乳酸面部填充剂110.25mg/瓶,FW20260617983069529,皮肤科,中胚层治疗（产品）,274195,注射用透明酸钠复合溶液（嗨体1.5ml/支）,1,支,0,支,"{""id"":207976,""service_id"":544687,""goods_id"":274195,""goods_name"":""注射用透明酸钠复合溶液（嗨体1.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274195}"
180608,117821,1467,【服务】激光唇毛,20210470,皮肤科,脱毛项目,,,,,,,
1637987,543291,1467,【服务】进口肉毒加入水光20u,FW20260613029637109,无创科,肉毒素治疗,,,,,,,
1635295,541774,1467,【服务】牛奶酸上下手,FW20260611517604813,皮肤科,光电项目,,,,,,,
1635294,541773,1467,【服务】黄金超光子上下手,FW20260611095240478,皮肤科,光电项目,,,,,,,
180623,117836,1467,【服务】激光脱腋毛,20210471,皮肤科,脱毛项目,,,,,,,
1633646,541401,1467,【服务】国产肉毒加入水光15u,FW20260609152500923,无创科,肉毒素治疗,,,,,,,
403459,195271,1467,爱尔菲琳（溶脂针）,ZFJZ01,无创科,玻尿酸（塑形填充）,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":11356,""service_id"":195271,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
103936,68311,1467,【服务】腋毛,pfk082,皮肤科,脱毛项目,,,,,,,
1629802,541107,1467,【服务】黄金超光子全面+颈部美白模式,FW20260607461730916,皮肤科,光电项目,,,,,,,
1629801,541106,1467,菲林普利玻尿酸,FW20260607810061311,无创科,玻尿酸（塑形填充）,,,,,,,
103955,68330,1467,【服务】比基尼全脱,pfk085,皮肤科,脱毛项目,,,,,,,
840860,377890,1467,【服务】博乐达水杨酸,FW20240528892924012,皮肤科,小项目,,,,,,,
805774,365065,1467,【服务】欧洲之星全模式（不含眼）,FW20240329605373960,皮肤科,光电项目,,,,,,,
103930,68305,1467,【服务】超能美肤精华全导入,pfk002,皮肤科,小项目,,,,,,,
1627370,540373,1467,【服务】超光子大小手,FW20260603235172765,皮肤科,小项目,,,,,,,
1627369,540372,1467,【服务】牛奶酸大小手手指手背,FW20260603868412355,皮肤科,小项目,,,,,,,
1626187,540015,1467,【服务】国产衡力单部位除皱10u,FW20260601738123989,无创科,肉毒素治疗,,,,,,,
1263368,466913,1467,【服务】进口英伦大提升150,FW20250701785779913,无创科,肉毒素治疗,,,,,,,
1624243,539974,1467,【服务】丝丽动能素516眼周,FW20260531102670014,皮肤科,中胚层项目,274524,丝丽抗皱精华液516,1,支,0,支,"{""id"":205242,""service_id"":539974,""goods_id"":274524,""goods_name"":""丝丽抗皱精华液516"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274524}"
1624212,539953,1467,【服务】进口botox除皱单部位10u,FW20260530469471273,无创科,肉毒素治疗,,,,,,,
1624211,539951,1467,【服务】国产肉毒加入水光20u,FW20260531446274338,无创科,肉毒素治疗,,,,,,,
1624207,539947,1467,注射（手工）,FW20260531777183098,无创科,无创手工,,,,,,,
181233,118214,1467,【服务】舒敏专家抗敏修复（照光+导入）,00700,皮肤科,光电项目,,,,,,,
1624106,539910,1467,【服务】国产肉毒加入水光10u,FW20260530351927120,无创科,肉毒素治疗,,,,,,,
1623100,539509,1467,海魅玻尿酸,FW20260529838559556,无创科,玻尿酸（塑形填充）,,,,,,,
838473,376581,1467,【服务】四肢脱毛(大腿+小腿+大小臂),FW20240523210131538,皮肤科,脱毛项目,,,,,,,
1622848,539429,1467,【服务】超光子全背部,FW20260529166748352,皮肤科,光电项目,,,,,,,
1622847,539428,1467,【服务】国产英伦大提升150u,FW20260528787597440,无创科,肉毒素治疗,,,,,,,
1622481,539340,1467,【服务】腋下牛奶酸,FW20260528107863155,皮肤科,皮肤基础项目,,,,,,,
1622482,539341,1467,【服务】腋下美白超皮秒,FW20260528437751800,皮肤科,皮肤基础项目,,,,,,,
1622435,539330,1467,【服务】国产肉毒30u加入水光,FW20260527390622732,无创科,肉毒素治疗,,,,,,,
1622332,539281,1467,【服务】国产衡力单部位除皱20u,FW20260526025538691,无创科,肉毒素治疗,,,,,,,
1622045,539206,1467,【服务】进口botox除皱单部位20u,FW20260526308022970,无创科,肉毒素治疗,,,,,,,
1622044,539205,1467,【服务】进口下颌缘+颈阔肌100u,FW20260526228243971,无创科,肉毒素治疗,,,,,,,
1620614,538332,1467,【服务】国产衡力瘦三角肌（200u）,FW20260524770230752,无创科,肉毒素治疗,,,,,,,
1620604,538322,1467,【服务】进口瘦脸50u,FW20260524511650926,无创科,肉毒素治疗,,,,,,,
1618608,537538,1467,【服务】国产颈阔肌50u,FW20260521701770880,无创科,肉毒素治疗,,,,,,,
1094773,430105,1467,【服务】止汗针衡力150单位,FW20250226346608343,皮肤科,中胚层项目,184391,101,1,件,0,件,"{""id"":135798,""service_id"":430105,""goods_id"":184391,""goods_name"":""101"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":184391}"
1619544,537929,1467,【服务】国产肉毒50u加入水光,FW20260522606980989,无创科,肉毒素治疗,,,,,,,
1618642,537542,1467,【服务】国产英伦大提升200u,FW20260521057271483,无创科,肉毒素治疗,,,,,,,
1618607,537537,1467,【服务】国产下颌缘50u,FW20260521197334144,无创科,肉毒素治疗,,,,,,,
1617257,537309,1467,【服务】进口英伦大提升100u,FW20260519493146751,无创科,肉毒素治疗,,,,,,,
948634,405809,1467,【服务】国产全脸除皱50u,FW20241021368335770,无创科,肉毒素治疗,,,,,,,
170385,111914,1467,【服务】小腿脱毛,046,皮肤科,脱毛项目,,,,,,,
1613779,536746,1467,【服务】国产衡力瘦腿200单位,FW20260515277623620,无创科,肉毒素治疗,,,,,,,
1613778,536745,1467,【服务】国产衡力瘦肩（200u）,FW20260515928169044,无创科,肉毒素治疗,,,,,,,
1613362,536637,1467,【服务】基础水光机打+医然童颜水凝滚针,FW20260514629269491,皮肤科,中胚层项目,184391,101,1,件,0,件,"{""id"":203970,""service_id"":536637,""goods_id"":184391,""goods_name"":""101"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":184391}"
805801,365092,1467,【服务】进口botox中上面部（3个部位）,FW20240329077967352,无创科,肉毒素治疗,,,,,,,
1601408,534879,1467,弗缦1.0ml胶原水光,FW20260503980267445,皮肤科,水光,,,,,,,
805770,365061,1467,【服务】超皮秒（全模式）,FW20240329058073837,皮肤科,光电项目,,,,,,,
430475,211713,1467,【服务】超声炮全模式（加强版）,CSP0004,皮肤科,光电项目,,,,,,,
514052,256666,1467,【服务】杜莎之谜小黑瓶,pfk1149,皮肤科,中胚层项目,274511,杜莎之谜聚乙二醇医用敷料（小黑5.0ml）,1,支,0,支,"{""id"":11248,""service_id"":256666,""goods_id"":274511,""goods_name"":""杜莎之谜聚乙二醇医用敷料（小黑5.0ml）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274511}"
365664,179087,1467,【服务】瑞蓝唯瑅(1ml/支),PFK01,皮肤科,中胚层项目,,,,,,,
805809,365100,1467,【服务】国产衡力颈阔肌,FW20240329908078394,无创科,肉毒素治疗,,,,,,,
1598861,534045,1467,乔雅登盈致,FW20260428638925290,无创科,玻尿酸（塑形填充）,,,,,,,
805797,365088,1467,【服务】国产衡力瘦脸针+下颌缘100u,FW20240329992474293,无创科,肉毒素治疗,,,,,,,
805799,365090,1467,【服务】国产衡力单部位除皱,FW20240329312194620,无创科,肉毒素治疗,,,,,,,
1385392,496144,1467,【服务】全身牛奶酸（私密不包含）,FW20251024936183370,皮肤科,光电项目,,,,,,,
851837,378557,1467,（服务）超光子全身美白嫩肤,FW20240531730094636,皮肤科,光电项目,,,,,,,
1595630,532592,1467,【服务】氨甲环素涂抹,FW20260424625178310,皮肤科,中胚层项目,,,,,,,
103937,68312,1467,【服务】四肢单部位,pfk083,皮肤科,脱毛项目,,,,,,,
